,dem_vote,gop_vote,total_vote,total_population,black_population,hispanic_population,any_black_population,state,zcta
5845,147.47732197029978,105.7088294521769,259.53769339846144,671.0,0.0,87.0,0.0,44,02802
197,588.6671293252318,647.1570101676646,1269.4535305612524,2004.0,0.0,0.0,0.0,44,02804
9420,7648.044200064166,2858.599513369909,10734.618974362236,16192.0,72.0,417.0,162.0,44,02806
26884,729.0,190.0,930.0,827.0,0.0,7.0,13.0,44,02807
5853,761.6021762108367,758.4763272018963,1555.123439173206,2565.0,176.0,88.0,176.0,44,02808
170,6762.089624168233,4554.468024328788,11564.477899826546,22258.0,555.0,783.0,598.0,44,02809
5854,392.83960300805757,379.4050724434286,791.3947583726275,1208.0,127.0,0.0,146.0,44,02812
210,2881.1063635714836,2157.001300163553,5149.159483649415,7780.0,12.0,64.0,50.0,44,02813
198,2117.9340038976243,2678.517926338036,4894.444901972617,7673.0,37.0,237.0,47.0,44,02814
149,179.5628384774662,260.44472456350854,449.0751823900742,208.0,0.0,0.0,0.0,44,02815
9421,8497.599202204903,9557.244979923986,18438.051399064723,32825.0,349.0,725.0,706.0,44,02816
199,1679.7608614676546,2204.6836795734353,3949.4368978398124,6033.0,126.0,292.0,164.0,44,02817
5855,7702.0312122960295,4962.681763624991,12956.074736275155,18190.0,246.0,497.0,362.0,44,02818
200,1891.852141627767,1920.9474773477439,3907.758459893669,6581.0,32.0,79.0,36.0,44,02822
5856,1543.6208667338933,2020.5619254520361,3638.2882379083494,5500.0,4.0,35.0,28.0,44,02825
5846,183.51264663558467,253.61493786915156,447.3423352236895,501.0,0.0,0.0,0.0,44,02826
5857,537.6972256587972,722.9652885891105,1290.5865039933021,2060.0,12.0,7.0,29.0,44,02827
9422,1663.2754459962625,1661.7412119487562,3386.3746779198564,7863.0,11.0,295.0,44.0,44,02828
171,1392.227024335009,1884.8876721926244,3351.006367275022,5935.0,0.0,22.0,2.0,44,02830
150,769.0720386832108,1095.9773303062295,1902.4892826258304,3501.0,0.0,95.0,15.0,44,02831
9423,1089.8838150273223,1128.7310167179319,2276.7209513279718,4320.0,29.0,25.0,51.0,44,02832
5539,402.67734573949156,414.73719087877436,839.5137899012759,1144.0,0.0,41.0,0.0,44,02833
201,2767.960874662685,1192.983048699194,4037.942812342276,5496.0,14.0,26.0,73.0,44,02835
212,19.55360857652406,17.466161197300366,37.92822723504838,187.0,0.0,0.0,0.0,44,02836
213,1514.8368747458637,934.8993253382063,2509.7297396779654,3505.0,22.0,95.0,76.0,44,02837
9424,841.0626741548647,755.8927130377432,1644.0867709549552,3519.0,66.0,11.0,81.0,44,02838
172,442.6092811609901,616.2422284095094,1092.5865710527867,2062.0,119.0,57.0,119.0,44,02839
211,7051.4079842452475,2421.4005512030076,9634.50032594576,23211.0,1394.0,2387.0,2205.0,44,02840
5847,430.7306396065982,135.94304683093426,577.5248663957465,1632.0,201.0,120.0,233.0,44,02841
217,5432.315099600982,2812.344877603274,8434.097671195772,15997.0,1028.0,1078.0,1314.0,44,02842
26885,8459.600154117556,5310.5636943122945,14086.960432251108,22031.0,124.0,637.0,360.0,44,02852
5858,2132.929939441224,2844.9540465188766,5087.375610691083,8733.0,45.0,140.0,76.0,44,02857
214,65.0828321226213,89.44069167134322,159.23545787808845,728.0,0.0,0.0,172.0,44,02858
151,1329.354078868353,1985.6463194489245,3388.8044497604815,7227.0,21.0,297.0,69.0,44,02859
152,10641.780992455831,3371.4276091152888,14271.635958021863,47127.0,10778.0,14146.0,12584.0,44,02860
218,6808.051685608476,3776.8893535270836,10791.868275508004,25044.0,2172.0,3139.0,2694.0,44,02861
